Name Experiment,Epoch,Training Loss,Step,Validation Loss,Validation Accuracy,Validation F1,Validation Precision,Model,Version,Preentrenado,Train Treatment,Dataset,Evaluation Loss,Evaluation Accuracy,Evaluation F1,Evaluation Precision
M2SBK400-R2000ONLY,0,0.5681,144,0.4817,0.85,0.8494,0.8607,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-ONLY PERSON,0.2832,0.9158,0.9157,0.9157
M2SBK400-R2000ONLY,1,0.4612,288,0.3374,0.875,0.8743,0.8797,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-ONLY PERSON,0.2832,0.9158,0.9157,0.9157
M2SBK400-R2000ONLY,2,0.3022,432,0.2846,0.9,0.9,0.9,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-ONLY PERSON,0.2832,0.9158,0.9157,0.9157
M2SBK400-R2000ONLY,3,0.3056,576,0.2733,0.9,0.8999,0.9003,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-ONLY PERSON,0.2832,0.9158,0.9157,0.9157
M2SBK400-R2000ONLY,4,0.3098,720,0.3172,0.9167,0.9166,0.9211,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-ONLY PERSON,0.2832,0.9158,0.9157,0.9157
M2SBK400-R2000ONLY,5,0.3965,864,0.2689,0.9333,0.9333,0.9354,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-ONLY PERSON,0.2832,0.9158,0.9157,0.9157
M2SBK400-R2000ONLY,6,0.1318,1008,0.2828,0.9333,0.9333,0.9354,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-ONLY PERSON,0.2832,0.9158,0.9157,0.9157
M2SBK400-R2000ONLY,7,0.1719,1152,0.3062,0.925,0.925,0.9282,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-ONLY PERSON,0.2832,0.9158,0.9157,0.9157
M2SBK400-R2000ONLY,8,0.0967,1296,0.3469,0.925,0.925,0.9282,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-ONLY PERSON,0.2832,0.9158,0.9157,0.9157
M2SBK400-R2000ONLY,9,0.0456,1440,0.3319,0.925,0.925,0.9282,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-ONLY PERSON,0.2832,0.9158,0.9157,0.9157
M2SBK400-R2000ONLY,10,0.1613,1584,0.343,0.925,0.925,0.9282,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-ONLY PERSON,0.2832,0.9158,0.9157,0.9157
M2SBK400-R2000SEG,0,0.5225,152,0.5302,0.8,0.8016,0.8091,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-SEGMENTATION,0.4089,0.885,0.885,0.8856
M2SBK400-R2000SEG,1,0.3808,304,0.3757,0.85,0.85,0.85,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-SEGMENTATION,0.4089,0.885,0.885,0.8856
M2SBK400-R2000SEG,2,0.4703,456,0.3731,0.8313,0.8304,0.8376,MViTv2,s,Kinetics400,"UTS,R,N,RH,RR",RWF2000-SEGMENTATION,0.4089,0.885,0.885,0.8856
